7157,TP53
1956,EGFR
7124,TNF
348,APOE
7422,VEGFA
3569,IL6
4524,MTHFR
7040,TGFB1
2099,ESR1
2064,ERBB2
1636,ACE
3586,IL10
3091,HIF1A
351,APP
672,BRCA1
4318,MMP9
3123,HLA-DRB1
9370,ADIPOQ
5243,ABCB1
4790,NFKB1
207,AKT1
1401,CRP
367,AR
627,BDNF
673,BRAF
6774,STAT3
3845,KRAS
1029,CDKN2A
5743,PTGS2
3553,IL1B
7421,VDR
4846,NOS3
7099,TLR4
1312,COMT
1499,CTNNB1
5728,PTEN
3576,CXCL8
1080,CFTR
5468,PPARG
110806262,LOC110806262
6532,SLC6A4
3106,HLA-B
7015,TERT
6622,SNCA
2952,GSTT1
999,CDH1
3479,IGF1
4609,MYC
2944,GSTM1
596,BCL2
2475,MTOR
4137,MAPT
3952,LEP
920,CD4
7852,CXCR4
3458,IFNG
4193,MDM2
3717,JAK2
675,BRCA2
4313,MMP2
5594,MAPK1
5054,SERPINE1
595,CCND1
1234,CCR5
1026,CDKN1A
5444,PON1
6347,CCL2
332,BIRC5
4879,NPPB
2147,F2
2950,GSTP1
5290,PIK3CA
6647,SOD1
3605,IL17A
3105,HLA-A
7097,TLR2
1493,CTLA4
2153,F5
3119,HLA-DQB1
3077,HFE
1813,DRD2
6387,CXCL12
29126,CD274
960,CD44
4851,NOTCH1
472,ATM
4780,NFE2L2
4233,MET
7515,XRCC1
1565,CYP2D6
3815,KIT
406991,MIR21
2908,NR3C1
1557,CYP2C19
355,FAS
154,ADRB2
3383,ICAM1
23411,SIRT1
3162,HMOX1
2100,ESR2
3146,HMGB1
5970,RELA
3606,IL18
6696,SPP1
50943,FOXP3
5925,RB1
3135,HLA-G
1432,MAPK14
3565,IL4
183,AGT
120892,LRRK2
7450,VWF
335,APOA1
2932,GSK3B
51738,GHRL
3480,IGF1R
6714,SRC
177,AGER
5979,RET
2706,GJB2
3690,ITGB3
64127,NOD2
836,CASP3
3688,ITGB1
1543,CYP1A1
4292,MLH1
5621,PRNP
2146,EZH2
142,PARP1
857,CAV1
3630,INS
4153,MBL2
6648,SOD2
5595,MAPK3
1906,EDN1
6531,SLC6A3
4582,MUC1
3043,HBB
1559,CYP2C9
1027,CDKN1B
4312,MMP1
9429,ABCG2
6667,SP1
3725,JUN
5879,RAC1
185,AGTR1
8743,TNFSF10
3557,IL1RN
79068,FTO
324,APC
3075,CFH
581,BAX
338,APOB
3791,KDR
1576,CYP3A4
3958,LGALS3
8626,TP63
1588,CYP19A1
3934,LCN2
4000,LMNA
3949,LDLR
5133,PDCD1
5747,PTK2
3107,HLA-C
4255,MGMT
3082,HGF
5663,PSEN1
54658,UGT1A1
2157,F8
4282,MIF
387,RHOA
929,CD14
4843,NOS2
4982,TNFRSF11B
2033,EP300
7490,WT1
5071,PRKN
2247,FGF2
2322,FLT3
1277,COL1A1
4023,LPL
4288,MKI67
238,ALK
3552,IL1A
1815,DRD4
2068,ERCC2
6934,TCF7L2
19,ABCA1
7428,VHL
3039,HBA1
282617,IFNL3
3356,HTR2A
5241,PGR
3757,KCNH2
6772,STAT1
6331,SCN5A
2332,FMR1
7276,TTR
4204,MECP2
10,NAT2
5599,MAPK8
3320,HSP90AA1
3417,IDH1
3265,HRAS
1071,CETP
5265,SERPINA1
25,ABL1
4869,NPM1
841,CASP8
2335,FN1
3558,IL2
5578,PRKCA
109580095,HBB-LCR
4436,MSH2
54106,TLR9
2152,F3
3064,HTT
213,ALB
1950,EGF
406938,MIR146A
4353,MPO
4314,MMP3
5781,PTPN11
23435,TARDBP
217,ALDH2
1577,CYP3A5
2321,FLT1
861,RUNX1
10413,YAP1
3065,HDAC1
7316,UBC
2067,ERCC1
1471,CST3
4128,MAOA
3486,IGFBP3
6790,AURKA
6352,CCL5
2697,GJA1
56729,RETN
3953,LEPR
3481,IGF2
4988,OPRM1
3643,INSR
114548,NLRP3
2263,FGFR2
4968,OGG1
1869,E2F1
6513,SLC2A1
7132,TNFRSF1A
10891,PPARGC1A
3117,HLA-DQA1
650,BMP2
7161,TP73
356,FASLG
3627,CXCL10
406947,MIR155
1571,CYP2E1
4170,MCL1
4089,SMAD4
8842,PROM1
3309,HSPA5
5347,PLK1
983,CDK1
8600,TNFSF11
2261,FGFR3
